CODIGO,REFERNCIA,DECRIPCION,CATEGORIA,SUBCATEGORIA,categ/complete,ESTADO,Suma de CANTIDAD ACTUAL,Promedio de PRECIO VENTA,URL Image,Nombre,Atributo_Color,Atributo_Talla,,
7700304210051,210051,Blusa popelina licrada / Azul / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210051.jpeg,Blusa popelina licrada , Azul , XL , Mujer,
7700601210052,210052,blusa chalis flores,MUJER,Blusa,MUJER /Blusa,Activo,14,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210052.jpeg,blusa chalis flores,,,,
7700602210052,210052,blusa chalis flores,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210052.jpeg,blusa chalis flores,,,,
7700603210052,210052,blusa chalis flores,MUJER,Blusa,MUJER /Blusa,Activo,13,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210052.jpeg,blusa chalis flores,,,,
7700604210052,210052,blusa chalis flores,MUJER,Blusa,MUJER /Blusa,Activo,18,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210052.jpeg,blusa chalis flores,,,,
7704401210056,210056,Blusa popelina licrada / azul oscuro / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,12,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210056.jpeg,Blusa popelina licrada , azul oscuro , S , Mujer,
7704403210056,210056,Blusa popelina licrada / azul oscuro / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210056.jpeg,Blusa popelina licrada , azul oscuro , L , Mujer,
7704404210056,210056,Blusa popelina licrada / azul oscuro / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,4,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210056.jpeg,Blusa popelina licrada , azul oscuro , XL , Mujer,
7705201210056,210056,Blusa popelina licrada / palo de rosa / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210056.jpeg,Blusa popelina licrada , palo de rosa , S , Mujer,
7705204210056,210056,Blusa popelina licrada / palo de rosa / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210056.jpeg,Blusa popelina licrada , palo de rosa , XL , Mujer,
7700202210059,210059,Blusa escote en v manga encaucahada / Negro / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,13,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210059.jpeg,Blusa escote en v manga encaucahada , Negro , M , Mujer,
7700203210059,210059,Blusa escote en v manga encaucahada / Negro / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,14,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210059.jpeg,Blusa escote en v manga encaucahada , Negro , L , Mujer,
7700204210059,210059,Blusa escote en v manga encaucahada / Negro / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,15,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210059.jpeg,Blusa escote en v manga encaucahada , Negro , XL , Mujer,
7700301210059,210059,Blusa escote en v manga encaucahada / Negro / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,7,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210059.jpeg,Blusa escote en v manga encaucahada , Negro , S , Mujer,
7702104210059,210059,Blusa escote en v manga encaucahada / Rosado / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,12,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210059.jpeg,Blusa escote en v manga encaucahada , Rosado , XL , Mujer,
7700601210060,210060,Blusa popelina cedosa botones / Verde / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210060.jpeg,Blusa popelina cedosa botones , Verde , S , Mujer,
7705201210060,210060,Blusa popelina cedosa botones / palo de rosa / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210060.jpeg,Blusa popelina cedosa botones , palo de rosa , S , Mujer,
7705203210060,210060,Blusa popelina cedosa botones / palo de rosa / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210060.jpeg,Blusa popelina cedosa botones , palo de rosa , L , Mujer,
7705204210060,210060,Blusa popelina cedosa botones / palo de rosa / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210060.jpeg,Blusa popelina cedosa botones , palo de rosa , XL , Mujer,
7701001210061,210061,Blusa licra escarcha / Rojo / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,4,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210061.jpeg,Blusa licra escarcha , Rojo , S , Mujer,
7701003210061,210061,Blusa licra escarcha / Rojo / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210061.jpeg,Blusa licra escarcha , Rojo , L , Mujer,
7701004210061,210061,Blusa licra escarcha / Rojo / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,12,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210061.jpeg,Blusa licra escarcha , Rojo , XL , Mujer,
7700103210062,210062,Blusa escuba escote atrás / Negro / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210062.jpeg,Blusa escuba escote atrás , Negro , L , Mujer,
7700104210062,210062,Blusa escuba escote atrás / Negro / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,5,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210062.jpeg,Blusa escuba escote atrás , Negro , XL , Mujer,
7704503210062,210062,Blusa escuba escote atrás / curuba / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,10,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210062.jpeg,Blusa escuba escote atrás , curuba , L , Mujer,
7704504210062,210062,Blusa escuba escote atrás / curuba / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,16,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210062.jpeg,Blusa escuba escote atrás , curuba , XL , Mujer,
7700801210063,210063,Blusa popelina sedosa manga campana / Rosa / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Rosa , S , Mujer,
7700802210063,210063,Blusa popelina sedosa manga campana / Rosa / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Rosa , M , Mujer,
7700803210063,210063,Blusa popelina sedosa manga campana / Rosa / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,10,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Rosa , L , Mujer,
7700804210063,210063,Blusa popelina sedosa manga campana / Rosa / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,7,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Rosa , XL , Mujer,
7701801210063,210063,Blusa popelina sedosa manga campana / Salmon / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Salmon , S , Mujer,
7701802210063,210063,Blusa popelina sedosa manga campana / Salmon / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Salmon , M , Mujer,
7701803210063,210063,Blusa popelina sedosa manga campana / Salmon / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Salmon , L , Mujer,
7701804210063,210063,Blusa popelina sedosa manga campana / Salmon / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210063.jpeg,Blusa popelina sedosa manga campana , Salmon , XL , Mujer,
7701101210064,210064,Blusa popelina sedosa cuello bandeja / Amarillo / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210064.jpeg,Blusa popelina sedosa cuello bandeja , Amarillo , S , Mujer,
7701301210064,210064,Blusa popelina sedosa cuello bandeja / Verde oliva / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,11,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210064.jpeg,Blusa popelina sedosa cuello bandeja , Verde oliva , S , Mujer,
7701304210064,210064,Blusa popelina sedosa cuello bandeja / Verde oliva / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210064.jpeg,Blusa popelina sedosa cuello bandeja , Verde oliva , XL , Mujer,
7700201210065,210065,BLUSA MOLI,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,BLUSA MOLI,,,,
7700204210065,210065,BLUSA MOLI,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,BLUSA MOLI,,,,
7704101210065,210065,Blusa Dany popelina ceda / Terracota / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,7,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,Blusa Dany popelina ceda , Terracota , S , Mujer,
7704102210065,210065,BLUSA DANY POPELINA,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,BLUSA DANY POPELINA,,,,
7704103210065,210065,Blusa Dany popelina ceda / Terracota / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,5,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,Blusa Dany popelina ceda , Terracota , L , Mujer,
7704104210065,210065,Blusa Dany popelina ceda / Terracota / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,8,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210065.jpeg,Blusa Dany popelina ceda , Terracota , XL , Mujer,
7701001210067,210067,Blusa popelina sedosa / Rojo / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,13,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210067.jpeg,Blusa popelina sedosa , Rojo , S , Mujer,
7701003210067,210067,Blusa popelina sedosa / Rojo / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210067.jpeg,Blusa popelina sedosa , Rojo , L , Mujer,
7705201210067,210067,Blusa popelina sedosa / palo de rosa / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210067.jpeg,Blusa popelina sedosa , palo de rosa , S , Mujer,
7705203210067,210067,Blusa popelina sedosa / palo de rosa / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210067.jpeg,Blusa popelina sedosa , palo de rosa , L , Mujer,
7700101210073,210073,Blusa de tiras y plumas / Blanco / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210073.jpeg,Blusa de tiras y plumas , Blanco , S , Mujer,
7700201210073,210073,Blusa de tiras y plumas / Negro / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210073.jpeg,Blusa de tiras y plumas , Negro , S , Mujer,
7700202210073,210073,Blusa de tiras y plumas / Blanco / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210073.jpeg,Blusa de tiras y plumas , Blanco , M , Mujer,
7700102210075,210075,blusa 003 / Blanco / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210075.jpeg,blusa 003 , Blanco , M , Mujer,
7701002210075,210075,blusa 003 / Rojo / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210075.jpeg,blusa 003 , Rojo , M , Mujer,
7702102210075,210075,blusa 003 / Rosado / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210075.jpeg,blusa 003 , Rosado , M , Mujer,
7700125210076,210076,BLUSA PETRA / Blanco / Unica / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,9,$33.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210076.jpeg,BLUSA PETRA , Blanco , Unica , Mujer,
7700625210076,210076,BLUSA PETRA / Verde / Unica / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,11,$33.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210076.jpeg,BLUSA PETRA , Verde , Unica , Mujer,
7700825210076,210076,BLUSA PETRA / Rosa / Unica / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,10,$33.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210076.jpeg,BLUSA PETRA , Rosa , Unica , Mujer,
7701002210078,210078,blusa 001 / Rojo / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$33.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210078.jpeg,blusa 001 , Rojo , M , Mujer,
7701025210079,210079,BLUSA PIEL DE DURAZNO,MUJER,Blusa,MUJER /Blusa,Activo,1,$30.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210079.jpeg,BLUSA PIEL DE DURAZNO,,,,
7700302210082,210082,BLUSA TIRAS SCUBA AZUL Y CURUBA / Azul / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210082.jpeg,BLUSA TIRAS SCUBA AZUL Y CURUBA , Azul , M , Mujer,
